trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.02, 'e': 0.0707372016677029}",25,15,2.620677970172313,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.02, 'e': 0.05077448493357918}",20,8,20.910317173586414,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.02, 'e': 0.03079145908246612}",30,23,14.148747569460188,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.02, 'e': 0.010796117058267392}",20,10,16.3789806777553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.02, 'e': -0.009203543268808336}",20,6,16.457274247612283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,18.544213647123602,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,18,22.457372793606265,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,15,27.878218439227844,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,14,11.417042576699439,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,16,25.510403288596464,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,11.675848572277422,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,16,15.651393572653816,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,29.904388903575374,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,11,36.36585765696736,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,17.031268276023397,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
